product,average_quantity_sold,total_quantity_sold,total_revenue,estimated_price_per_unit,projected_60_day_quantity,projected_60_day_revenue,recommended_inventory_order,reason
          Dussehra Special Offer on Goat Leg,26.0,26.0,-285.05,-10.963461538461539,1560.0,-17103.0,1716.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Dussehra Special Offer on Goat Mix,33.0,33.0,-66.36,-2.0109090909090908,1980.0,-3981.6,2178.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Lion Honey Buy 1 Get 1 Free,13.0,13.0,-64.87,-4.99,780.0,-3892.2000000000003,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          Loyalty Program: $5 Discount Applied,434.0,434.0,-2165.87,-4.990483870967742,26040.0,-129952.2,28644.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          advatisements,1.0,1.0,300.0,300.0,60.0,18000.0,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          chicken leg,1.0,1.0,11.33,11.33,60.0,679.8,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          chicken liver,12.02,12.02,32.34,2.690515806988353,721.1999999999999,1940.4,793.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          feather,1.0,1.0,5.99,5.99,60.0,359.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          feather peacock,3.0,3.0,16.98,5.66,180.0,1018.8000000000001,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          jawar Rotti 10 pcs,1.0,1.0,12.99,12.99,60.0,779.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          kumkum,2.0,2.0,1.98,0.99,120.0,118.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          pia beauty ubtan bath powder,1.0,1.0,7.99,7.99,60.0,479.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
          thumbup orange,2.0,2.0,1.98,0.99,120.0,118.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     All,2215.24,2215.24,-2334.5,-1.0538361531933336,132914.4,-140070.0,146206.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     All / Deliveries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     All / Saleable / PoS,67.0,67.0,-1552.6,-23.17313432835821,4020.0,-93156.0,4422.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Beverages / Coff & Tea,1261.0,1261.0,9956.45,7.8956780333069,75660.0,597387.0,83226.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Beverages / Drinks,1418.0,1418.0,3975.64,2.8036953455571227,85080.0,238538.4,93588.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Beverages / Healthy Drinks,48.0,48.0,300.02,6.250416666666666,2880.0,18001.199999999997,3168.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Beverages / Mango Pulp,84.0,84.0,407.16,4.847142857142858,5040.0,24429.600000000002,5544.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Cooking Essentials & Oils,81.0,81.0,480.19,5.9282716049382715,4860.0,28811.4,5346.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Cooking Essentials & Oils / COCO / JAGGERY,1242.0,1242.0,4885.17,3.9333091787439614,74520.0,293110.2,81972.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Cooking Essentials & Oils / Nuts & Dry Fruit,1970.0,1970.0,12244.87,6.215670050761422,118200.0,734692.2000000001,130020.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Cooking Essentials & Oils / Oils,1136.0,1136.0,11808.66,10.39494718309859,68160.0,708519.6,74976.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Cooking Essentials & Oils / UTENSILS,297.0,297.0,2166.58,7.2948821548821545,17820.0,129994.79999999999,19602.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Dairy Products,71.0,71.0,354.29,4.99,4260.0,21257.4,4686.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Dairy Products / Dairy,5694.23,5694.23,35404.58,6.217623805150127,341653.8,2124274.8000000003,375819.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Dairy Products / Ghee,399.0,399.0,5472.01,13.714310776942357,23940.0,328320.60000000003,26334.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items,67.0,67.0,388.13,5.792985074626865,4020.0,23287.8,4422.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items / Frozen Naan & Roti,1193.0,1193.0,6654.68,5.578105616093882,71580.0,399280.80000000005,78738.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items / Frozen Ready to Eat,992.0,992.0,6011.68,6.060161290322581,59520.0,360700.80000000005,65472.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items / Frozen Sweets,430.0,430.0,3683.8,8.566976744186046,25800.0,221028.0,28380.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items / Frozen Vegatables & Fruits,2294.0,2294.0,7838.28,3.416861377506539,137640.0,470296.8,151404.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Frozen Items / Ice Cream & Kulfi,326.0,326.0,1561.25,4.789110429447852,19560.0,93674.99999999999,21516.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Fruits & Vegetables,120.0,120.0,532.31,4.4359166666666665,7200.0,31938.6,7920.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Fruits & Vegetables / CanVeg ,169.0,169.0,369.33,2.1853846153846153,10140.0,22159.8,11154.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Fruits & Vegetables / Produces & Fruit,83911.62,83911.62,126897.52,1.5122758921827515,5034697.199999999,7613851.199999999,5538167.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Health & Personal Care,17.0,17.0,117.85,6.93235294117647,1020.0,7070.999999999999,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Health & Personal Care / Henna & Dye,360.0,360.0,1194.4,3.317777777777778,21600.0,71664.00000000001,23760.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Health & Personal Care / Medicine,117.0,117.0,428.73,3.6643589743589744,7020.0,25723.8,7722.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Health & Personal Care / Personal Hygiene,849.0,849.0,3102.54,3.65434628975265,50940.0,186152.4,56034.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Health & Personal Care / Soap and Shampoo,69.0,69.0,199.81,2.8957971014492756,4140.0,11988.6,4554.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Jalebi & DD Rotis,13479.0,13479.0,79087.81,5.867483492840715,808740.0,4745268.6,889614.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Meat / CHICKEN,19783.88,19783.88,90149.6,4.556719915405876,1187032.8,5408976.0,1305736.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Meat / FRESH FISH,330.25,330.25,2416.94,7.318516275548827,19815.0,145016.40000000002,21796.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Meat / GOAT  / LAMB,6276.61,6276.61,81963.02,13.0584853925925,376596.6,4917781.2,414256.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     NONE,95.0,95.0,266.05,2.8005263157894738,5700.0,15963.0,6270.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Non-Tax,50.0,50.0,296.5,5.93,3000.0,17790.0,3300.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     ORGANIC,50.0,50.0,669.5,13.39,3000.0,40170.0,3300.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Rakhis,68.0,68.0,279.3,4.107352941176471,4080.0,16758.0,4488.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Ready-to-Eat & Instant Foods,10.0,10.0,29.9,2.9899999999999998,600.0,1793.9999999999998,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Ready-to-Eat & Instant Foods / Instant Mix,547.0,547.0,2011.13,3.6766544789762343,32820.0,120667.80000000002,36102.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Ready-to-Eat & Instant Foods / Noodles & Maggies,1820.0,1820.0,5468.22,3.0045164835164835,109200.0,328093.2,120120.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Ready-to-Eat & Instant Foods / Ready To Eat,671.0,671.0,4301.79,6.411013412816692,40260.0,258107.4,44286.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Ready-to-Eat & Instant Foods / Soups,266.0,266.0,529.34,1.9900000000000002,15960.0,31760.400000000005,17556.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Religious & Cultural Items / INCENSES,86.0,86.0,334.64,3.8911627906976745,5160.0,20078.4,5676.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Religious & Cultural Items / Pooja Items,2671.99,2671.99,15274.18,5.7164061242744175,160319.4,916450.8,176351.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products",61.0,61.0,714.39,11.711311475409836,3660.0,42863.4,4026.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Atta",309.0,309.0,3383.93,10.951229773462783,18540.0,203035.8,20394.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Dals ",2910.0,2910.0,14206.71,4.882030927835051,174600.0,852402.5999999999,192060.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Flour",1648.0,1648.0,7309.52,4.435388349514564,98880.0,438571.20000000007,108768.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Poha, Mamra & Sabudana",654.0,654.0,2566.96,3.9250152905198776,39240.0,154017.6,43164.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Rice",1756.63,1756.63,31897.66,18.158439739728912,105397.8,1913859.6,115938.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Rice, Grains & Flour Products / Roti Naan",881.0,881.0,5571.19,6.323711691259931,52860.0,334271.39999999997,58146.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets,396.0,396.0,2310.54,5.83469696969697,23760.0,138632.4,26136.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Biscuits,5093.49,5093.49,9108.4,1.7882434244496406,305609.39999999997,546503.9999999999,336170.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Can Sweets,14.0,14.0,82.86,5.918571428571428,840.0,4971.599999999999,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Candy & Cadbury,2835.0,2835.0,8665.56,3.0566349206349206,170100.0,519933.6,187110.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Snacks & Sweets / Cookies, Khari & Rusk",1679.0,1679.0,5991.81,3.5686777843954736,100740.0,359508.60000000003,110814.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Jams,124.0,124.0,485.26,3.9133870967741933,7440.0,29115.6,8184.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Mukhvas,251.0,251.0,828.51,3.300836653386454,15060.0,49710.6,16566.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     Snacks & Sweets / Snacks,7556.55,7556.55,23767.91,3.1453388120240056,453393.0,1426074.5999999999,498732.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments",22.0,22.0,65.78,2.99,1320.0,3946.8,1452.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Chutneys",544.0,544.0,2326.56,4.276764705882353,32640.0,139593.59999999998,35904.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Food Color & Essence",52.0,52.0,109.48,2.1053846153846156,3120.0,6568.800000000001,3432.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Papad",256.0,256.0,562.94,2.198984375,15360.0,33776.4,16896.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Sauces",465.0,465.0,1670.35,3.5921505376344083,27900.0,100220.99999999999,30690.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Spice Mix",4723.8,4723.8,11496.71,2.4337842415004864,283428.0,689802.5999999999,311771.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / Spices",3421.0,3421.0,13358.05,3.9047208418591053,205260.0,801483.0,225786.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
"     Spices, Seasonings & Condiments / pickles",602.0,602.0,2056.18,3.4155813953488368,36120.0,123370.79999999999,39732.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     bis,14.0,14.0,55.86,3.9899999999999998,840.0,3351.6,924.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     candy,31.0,31.0,61.69,1.99,1860.0,3701.4,2046.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     cosmetics,38.0,38.0,149.62,3.9373684210526316,2280.0,8977.2,2508.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     pooja,18.99,18.99,46.86,2.467614533965245,1139.3999999999999,2811.6,1253.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     produce,1181.98,1181.98,4337.49,3.669681382087683,70918.8,260249.4,78011.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
     snacks,6.0,6.0,23.94,3.99,360.0,1436.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
088168150119,32.0,32.0,63.68,1.99,1920.0,3820.8,2112.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
108 Rudraksha Wicks,2.0,2.0,5.98,2.99,120.0,358.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
12 inch,4.0,4.0,167.96,41.99,240.0,10077.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
15 inch,2.0,2.0,129.98,64.99,120.0,7798.799999999999,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24 Brown Basmati Rice 10Lb,5.0,5.0,134.95,26.99,300.0,8096.999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24 M Sonamasoori Brown 10Lb,6.0,6.0,119.94,19.99,360.0,7196.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24 Mantra Brown Basmatirice2Lb,1.0,1.0,8.99,8.99,60.0,539.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24M Basmati White Rice 10Lb,2.0,2.0,59.98,29.99,120.0,3598.7999999999997,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24M Idly Rice 10Lb,3.0,3.0,53.97,17.99,180.0,3238.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24M Mustard Oil 1Ltr,4.0,4.0,39.96,9.99,240.0,2397.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24M Organic Sona Masuri 10lb,4.0,4.0,79.96,19.99,240.0,4797.599999999999,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
24M Urad White Split 4Lb,4.0,4.0,51.96,12.99,240.0,3117.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
3Roses 250 G,9.0,9.0,47.91,5.323333333333333,540.0,2874.6,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
50-50 Sweet & Salty,108.49,108.49,107.41,0.9900451654530371,6509.4,6444.599999999999,7160.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
777 Camphor,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
777 Nannari Syrup,5.0,5.0,24.95,4.99,300.0,1497.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
8 inch,9.0,9.0,222.92,24.76888888888889,540.0,13375.199999999999,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
A&B KAJU GUNJIYA 341G,6.0,6.0,65.94,10.99,360.0,3956.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AACHI BIRYANI MASALA 100G,8.0,8.0,23.92,2.99,480.0,1435.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AACHI CHAAT MASALA 100G,9.0,9.0,26.91,2.99,540.0,1614.6000000000001,594.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AAHASPICY MASALA PEANUTS 150G,17.0,17.0,50.83,2.9899999999999998,1020.0,3049.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA COCONUT PWDR 200G,17.0,17.0,33.83,1.99,1020.0,2029.8,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA HIMALAYAN PINK SALT 2LB,27.0,27.0,94.23,3.49,1620.0,5653.8,1782.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA JOWAR FLOUR 2LB,8.0,8.0,31.92,3.99,480.0,1915.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA LADDU BESAN 2LB,15.0,15.0,59.85,3.99,900.0,3591.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA LADDU BESAN 4LB,6.0,6.0,41.94,6.989999999999999,360.0,2516.3999999999996,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AARA PHOOL NAKHANA 100G,11.0,11.0,54.89,4.99,660.0,3293.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
ADANI GINGER POWDER 100G,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
ADANI SAFFRON 1G,8.0,8.0,47.92,5.99,480.0,2875.2000000000003,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
ADANI SESAME SEEDS 200GM,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL CAFE CINAMON 200ML,1.0,1.0,1.99,1.99,60.0,119.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL CONDENSED MILK 400G,56.0,56.0,195.44,3.4899999999999998,3360.0,11726.4,3696.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL GULAB JAMUN 1kg,29.0,29.0,173.71,5.99,1740.0,10422.6,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL KHOA 200G,11.0,11.0,38.39,3.49,660.0,2303.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL MASTI YOGURT 4.4LB,100.0,100.0,899.0,8.99,6000.0,53940.0,6600.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AMUL MILK SHAKE,20.0,20.0,39.8,1.9899999999999998,1200.0,2387.9999999999995,1320.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
APNA DESI SUGAR 4LB,4.0,4.0,31.96,7.99,240.0,1917.6000000000001,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
APPY FIZZ 250 ml,13.0,13.0,12.87,0.99,780.0,772.2,858.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AVANI COCONUT OIL 1L,3.0,3.0,20.97,6.989999999999999,180.0,1258.1999999999998,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AVANI GINGELLY OIL 2L,8.0,8.0,119.92,14.99,480.0,7195.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AVANI GINGELY OIL 500GM,29.0,29.0,173.71,5.99,1740.0,10422.6,1914.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AVANI MUSTARD OIL 4L,1.0,1.0,16.99,16.99,60.0,1019.3999999999999,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
AVANI PEANUT OIL 4L,4.0,4.0,95.96,23.99,240.0,5757.599999999999,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Badam drink 180g,11.0,11.0,32.89,2.99,660.0,1973.4,726.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Butter Chicken Masala,4.0,4.0,7.96,1.99,240.0,477.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Butter chicken Masala 100gm,5.0,5.0,14.95,2.9899999999999998,300.0,896.9999999999999,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Chicken Curry 100G,17.0,17.0,50.83,2.9899999999999998,1020.0,3049.7999999999997,1122.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Chicken Lollipop 100Gm,3.0,3.0,8.97,2.99,180.0,538.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Chicken Tikka 100G,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Country Chicken Biryani 45G,4.0,4.0,7.96,1.99,240.0,477.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Curry Masala 100g,1.0,1.0,2.99,2.99,60.0,179.4,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Dum Biryani Msl,10.0,10.0,19.9,1.9899999999999998,600.0,1193.9999999999998,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Fish Masala 100G,4.0,4.0,11.96,2.99,240.0,717.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Garam Masala 100G,12.0,12.0,35.88,2.99,720.0,2152.8,792.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Hyderabadi Dum Biryani 45g,7.0,7.0,13.93,1.99,420.0,835.8,462.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Idicha Sambar Powder 100g,8.0,8.0,23.92,2.99,480.0,1435.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Idly powder 100g,11.02,11.02,32.95,2.9900181488203272,661.1999999999999,1977.0000000000002,727.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Idyappam powder 1kg,5.0,5.0,24.95,4.99,300.0,1497.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Kashmiri Chilli 100G,10.0,10.0,29.9,2.9899999999999998,600.0,1793.9999999999998,660.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Madras sambar powder 100g,6.0,6.0,11.94,1.99,360.0,716.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Malay Chciken Biryani 40g,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Memoni Mutton Bir 45G,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Mughal Biryani 45G,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Mutton Curry 100G,4.0,4.0,11.96,2.99,240.0,717.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Mutton Masala 100G,15.0,15.0,44.85,2.99,900.0,2691.0,990.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Nawabi Chicken Biryani 45g,3.0,3.0,5.97,1.99,180.0,358.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Pani puri Masala 100gm,3.0,3.0,8.97,2.99,180.0,538.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Puttu Powder (rice Flour) 1kg,5.0,5.0,24.95,4.99,300.0,1497.0,330.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Ragi Flour 1kg,8.0,8.0,39.92,4.99,480.0,2395.2000000000003,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Ragi Flour Roasted 1 Kg,4.0,4.0,15.96,3.99,240.0,957.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Rasam powder 100g,8.0,8.0,23.92,2.99,480.0,1435.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Rava Dosa Mix,4.0,4.0,11.96,2.99,240.0,717.6,264.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Rava Idli Mix,16.0,16.0,47.84,2.99,960.0,2870.4,1056.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Rava Idli Mix 1 Kg,2.0,2.0,10.98,5.49,120.0,658.8000000000001,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Rava Upma Mix 1 kg,1.0,1.0,5.49,5.49,60.0,329.40000000000003,66.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Sambar Powder 100g,6.0,6.0,11.94,1.99,360.0,716.4,396.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Sindhi Biryani Msl 45G,2.0,2.0,3.98,1.99,120.0,238.8,132.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Spicy Sambar Powder 100g,3.0,3.0,8.97,2.99,180.0,538.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Tandoori Masala 100G,8.0,8.0,23.92,2.99,480.0,1435.2,528.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
Aachi Tomato rice 100gm,3.0,3.0,8.97,2.99,180.0,538.2,198.0,Inventory recommendation uses projected 60-day demand with 10% safety stock.
